date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,SMA_20,RSI,SMA_10,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,BB_upper,BB_lower,BB_percent,Volatility,ATR,OBV,Daily_Return,Cumulative_Return
2024-08-16,10.4,10.52,10.37,10.51,10.04,34142630,34142630,0.11,1.06,10.45,"August 16, 24",0.0106,10.9,39.45278415447675,10.064,10.457250801523196,11.107858930563104,39.45278415447675,-0.6506081290399077,-0.6865483250078708,13.557239168761436,8.242760831238565,0.4266155631407121,0.38820522498191173,0.37154402823031296,-39519818,0.47801147227533036,-0.1378178835110745
2024-08-19,10.56,10.75,10.54,10.72,10.24,41066305,41066305,0.16,1.52,10.6425,"August 19, 24",0.0152,10.73,43.41375912100908,10.165000000000001,10.497673755135013,11.079128639410282,43.41375912100908,-0.5814548842752689,-0.6655296368613505,12.938646644440881,8.52135335555912,0.49773617024136263,0.37444170895688617,0.36214802621386205,1546487,1.9980970504281714,-0.12059064807219011
2024-08-20,10.7,10.79,10.61,10.68,10.2,32468000,32468000,-0.02,-0.18692,10.695,"August 20, 24",-0.0018692,10.5725,42.83888669802677,10.255,10.525723946652704,11.04956355500952,42.83888669802677,-0.5238396083568162,-0.6371916311604436,12.262883092674546,8.882116907325454,0.5317975257992885,0.358338657426956,0.3491374529128719,-30921513,-0.3731343283582156,-0.12387202625102522
2024-08-21,10.84,10.97,10.75,10.85,10.37,48943900,48943900,0.015,0.09225092,10.8525,"August 21, 24",0.0009225092,10.4315,46.10524766722019,10.363,10.575612570244596,11.03478106945326,46.10524766722019,-0.45916849920866376,-0.6015870047700878,11.366578071606835,9.496421928393165,0.7237781061857492,0.3773155615224384,0.3449133491333812,18022387,1.5917602996254665,-0.10992616899097607
2024-08-22,10.85,11.01,10.84,10.92,10.43,50885400,50885400,0.07,0.64516,10.905,"August 22, 24",0.0064516,10.419500000000001,47.43716144395357,10.442,10.628595251745427,11.026278768012277,47.43716144395357,-0.3976835162668504,-0.5608063070694403,11.322483388551506,9.516516611448496,0.7771368811129858,0.41772605250931566,0.3324195384809968,68907787,0.6451612903225934,-0.10418375717801454
2024-08-23,10.98,11.28,10.94,11.27,10.77,64612700,64612700,0.29,2.64,11.1175,"August 23, 24",0.0264,10.423499999999999,53.61029821162986,10.559000000000001,10.727272905323053,11.04433219260396,53.61029821162986,-0.31705928728090704,-0.5120569031117337,11.340697361531287,9.50630263846871,0.9614601150764017,0.46196248836815995,0.3343895714466399,133520487,3.2051282051281937,-0.07547169811320742
2024-08-26,11.32,11.37,11.07,11.11,10.61,53070331,53070331,-0.21,-1.86,11.2175,"August 26, 24",-0.0186,10.4285,50.68007337430085,10.684000000000001,10.786153996811814,11.049196474633296,50.68007337430085,-0.2630424778214824,-0.46225401805368344,11.359419437975143,9.497580562024856,0.8660359705681624,0.46503692397411117,0.3319331734861656,80450156,-1.419698314108253,-0.08859721082854788
2024-08-27,11.12,11.22,10.99,11.14,10.64,44841000,44841000,0.02,0.17986,11.1175,"August 27, 24",0.0017986,10.4435,51.218459903569084,10.784,10.840591843456151,11.055922661697497,51.218459903569084,-0.21533081824134648,-0.41286937809121604,11.409466355521744,9.477533644478257,0.8605198027957209,0.44830633659199465,0.32465223252286807,125291156,0.27002700270029045,-0.08613617719442135
2024-08-28,11.1,11.19,10.98,11.04,10.55,35442200,35442200,-0.06,-0.54054,11.0775,"August 28, 24",-0.0054054,10.4545,49.287077547906335,10.87,10.871270021385973,11.05474320527546,49.287077547906335,-0.18347318388948786,-0.36699013925087043,11.442133029014299,9.4668669709857,0.796415765167531,0.4445543514898209,0.31646278734266314,89848956,-0.8976660682226356,-0.0943396226415093
2024-08-29,11.02,11.2,10.99,11.11,10.61,44989200,44989200,0.09,0.8167,11.08,"August 29, 24",0.008167,10.4755,50.68882513573031,10.934999999999999,10.907997710403516,11.058836301180982,50.68882513573031,-0.1508385907774663,-0.32375982955618965,11.499462401653478,9.451537598346523,0.8098258290418765,0.43169802734452134,0.3088583025324728,134838156,0.6340579710145011,-0.08859721082854777
2024-08-30,11.15,11.23,11.06,11.19,10.69,44977100,44977100,0.04,0.35874,11.1575,"August 30, 24",0.0035874,10.5335,52.31117469109279,11.003,10.951382678033744,11.06855213072313,52.31117469109279,-0.11716945268938694,-0.28244175418282913,11.581092955302754,9.485907044697246,0.8133373495291742,0.37156337367844183,0.29893985235158194,179815256,0.7200720072007227,-0.08203445447087754
